question,grading_notes
"According to the Wikipedia article on Hallstatt, where is Hallstatt located and what is it particularly known for?","States that Hallstatt is in Austria and identifies its historical significance, especially its association with salt mining and/or the prehistoric Hallstatt culture."
"Where is Hallstatt located, and what is it especially famous for according to Wikipedia?","States that Hallstatt is in Austria and identifies its historical significance, especially its association with salt mining and/or the prehistoric Hallstatt culture."
"According to the Wikipedia article on Hallstatt, where can it be found and what is it best known for?","States that Hallstatt is in Austria and identifies its historical significance, especially its association with salt mining and/or the prehistoric Hallstatt culture."
"What is Hallstatt’s location, and what is it particularly known for in the Wikipedia article?","States that Hallstatt is in Austria and identifies its historical significance, especially its association with salt mining and/or the prehistoric Hallstatt culture."
Compare birds and members of the Mytilidae family in terms of their biological classification and major physical characteristics.,"Uses evidence from both the Bird and Mytilidae articles, correctly distinguishes birds from marine bivalve mollusks, and summarizes major characteristics of each group."
How do birds and members of the Mytilidae family differ in their biological classification and main physical traits?,"Uses evidence from both the Bird and Mytilidae articles, correctly distinguishes birds from marine bivalve mollusks, and summarizes major characteristics of each group."
Can you compare birds with Mytilidae family members based on their taxonomy and key physical characteristics?,"Uses evidence from both the Bird and Mytilidae articles, correctly distinguishes birds from marine bivalve mollusks, and summarizes major characteristics of each group."
What are the differences between birds and Mytilidae organisms in terms of classification and major body features?,"Uses evidence from both the Bird and Mytilidae articles, correctly distinguishes birds from marine bivalve mollusks, and summarizes major characteristics of each group."
Which landmark in the corpus is an Art Deco skyscraper in Manhattan that was completed in the early 1930s?,"Identifies the Empire State Building and correctly connects it with Manhattan, Art Deco architecture, and completion in the early 1930s."
Which landmark in the corpus is an Art Deco skyscraper in Manhattan that was finished in the early 1930s?,"Identifies the Empire State Building and correctly connects it with Manhattan, Art Deco architecture, and completion in the early 1930s."
What landmark in the corpus is an Art Deco skyscraper in Manhattan completed in the early 1930s?,"Identifies the Empire State Building and correctly connects it with Manhattan, Art Deco architecture, and completion in the early 1930s."
Which landmark in the corpus refers to an Art Deco skyscraper in Manhattan that was built in the early 1930s?,"Identifies the Empire State Building and correctly connects it with Manhattan, Art Deco architecture, and completion in the early 1930s."
Compare the historical significance of the Empire State Building and Emirates airline within their respective domains.,"Uses evidence from both relevant articles and explains the significance of the Empire State Building in architecture or New York history and Emirates in commercial aviation, without confusing the two domains."
How do the Empire State Building and Emirates airline compare in terms of their historical significance in their own fields?,"Uses evidence from both relevant articles and explains the significance of the Empire State Building in architecture or New York history and Emirates in commercial aviation, without confusing the two domains."
What is the historical importance of the Empire State Building versus Emirates airline in their respective domains?,"Uses evidence from both relevant articles and explains the significance of the Empire State Building in architecture or New York history and Emirates in commercial aviation, without confusing the two domains."
Compare the impact and historical significance of the Empire State Building and Emirates airline within their own industries.,"Uses evidence from both relevant articles and explains the significance of the Empire State Building in architecture or New York history and Emirates in commercial aviation, without confusing the two domains."
How were Margaret Thatcher and Adolf Hitler connected through the major European political and military events that shaped the periods in which they rose to prominence?,Recognizes that they belonged to different historical periods and does not invent a direct relationship. A correct answer should distinguish their historical contexts and explain that broader connections require synthesizing evidence across multiple historical events or articles.
How were Margaret Thatcher and Adolf Hitler linked by the major European political and military events that shaped the eras in which they rose to prominence?,Recognizes that they belonged to different historical periods and does not invent a direct relationship. A correct answer should distinguish their historical contexts and explain that broader connections require synthesizing evidence across multiple historical events or articles.
In what way were Margaret Thatcher and Adolf Hitler connected through the major political and military developments in Europe during the times they became prominent?,Recognizes that they belonged to different historical periods and does not invent a direct relationship. A correct answer should distinguish their historical contexts and explain that broader connections require synthesizing evidence across multiple historical events or articles.
What is the connection between Margaret Thatcher and Adolf Hitler in relation to the key European political and military events that influenced the periods when they came to power?,Recognizes that they belonged to different historical periods and does not invent a direct relationship. A correct answer should distinguish their historical contexts and explain that broader connections require synthesizing evidence across multiple historical events or articles.
"What is Mytilidae, and what type of organisms belong to this biological family?",Identifies Mytilidae as a family of marine bivalve mollusks commonly associated with mussels and accurately describes the biological group.
"What is Mytilidae, and what kinds of organisms are in this biological family?",Identifies Mytilidae as a family of marine bivalve mollusks commonly associated with mussels and accurately describes the biological group.
"What does Mytilidae refer to, and what organisms belong to this family?",Identifies Mytilidae as a family of marine bivalve mollusks commonly associated with mussels and accurately describes the biological group.
Can you explain what Mytilidae is and which organisms are classified in this family?,Identifies Mytilidae as a family of marine bivalve mollusks commonly associated with mussels and accurately describes the biological group.
"Who was Victoria, what position did she hold, and which country or kingdom did she rule?","Correctly resolves Victoria to Queen Victoria and identifies her as monarch of the United Kingdom, while accurately describing her role from the retrieved article."
"Who was Victoria, what title did she hold, and what country or kingdom did she rule?","Correctly resolves Victoria to Queen Victoria and identifies her as monarch of the United Kingdom, while accurately describing her role from the retrieved article."
"Who was Victoria, what was her role, and which country or kingdom was under her rule?","Correctly resolves Victoria to Queen Victoria and identifies her as monarch of the United Kingdom, while accurately describing her role from the retrieved article."
"Who was Victoria, what position did she occupy, and what country or kingdom did she govern?","Correctly resolves Victoria to Queen Victoria and identifies her as monarch of the United Kingdom, while accurately describing her role from the retrieved article."
"Which airline in the corpus was established in Dubai, and what organization owns it?",Identifies Emirates airline and correctly states that it is based in Dubai and owned by the Emirates Group.
"Which airline in the corpus was founded in Dubai, and which organization owns it?",Identifies Emirates airline and correctly states that it is based in Dubai and owned by the Emirates Group.
"Which airline mentioned in the corpus was established in Dubai, and who owns it?",Identifies Emirates airline and correctly states that it is based in Dubai and owned by the Emirates Group.
"In the corpus, what airline was set up in Dubai, and what company owns it?",Identifies Emirates airline and correctly states that it is based in Dubai and owned by the Emirates Group.
"According to the Wikipedia article on the Empire State Building, when was the building completed and when did it officially open?","States that the Empire State Building was completed on April 11, 1931 and officially opened on May 1, 1931."
"According to the Wikipedia article on the Empire State Building, when was it finished and when did it officially open?","States that the Empire State Building was completed on April 11, 1931 and officially opened on May 1, 1931."
"In the Wikipedia article about the Empire State Building, what are the completion date and the official opening date?","States that the Empire State Building was completed on April 11, 1931 and officially opened on May 1, 1931."
"Based on the Wikipedia page for the Empire State Building, when was construction completed and when did it open officially?","States that the Empire State Building was completed on April 11, 1931 and officially opened on May 1, 1931."
"What role did Steve Jobs play in the development of Apple, according to his Wikipedia article?",Identifies Steve Jobs as a co-founder and major leader of Apple and describes his important role in the company's development and products.
"What was Steve Jobs’s role in Apple’s development, according to his Wikipedia article?",Identifies Steve Jobs as a co-founder and major leader of Apple and describes his important role in the company's development and products.
"According to Steve Jobs’s Wikipedia page, what part did he play in developing Apple?",Identifies Steve Jobs as a co-founder and major leader of Apple and describes his important role in the company's development and products.
"How did Steve Jobs contribute to the development of Apple, based on his Wikipedia article?",Identifies Steve Jobs as a co-founder and major leader of Apple and describes his important role in the company's development and products.
"According to the corpus, when did Margaret Thatcher become President of the United States?",PASS if the response rejects the false premise and explains that Margaret Thatcher did not become President of the United States. FAIL if the system accepts the premise or invents a date.
"According to the corpus, when did Margaret Thatcher become President of the United States?",PASS if the response rejects the false premise and explains that Margaret Thatcher did not become President of the United States. FAIL if the system accepts the premise or invents a date.
"When, according to the corpus, did Margaret Thatcher become President of the United States?",PASS if the response rejects the false premise and explains that Margaret Thatcher did not become President of the United States. FAIL if the system accepts the premise or invents a date.
"According to the corpus, at what time did Margaret Thatcher become President of the United States?",PASS if the response rejects the false premise and explains that Margaret Thatcher did not become President of the United States. FAIL if the system accepts the premise or invents a date.
"What did Margaret Thatcher study at the University of Oxford, and what academic qualification did she receive?",Correctly identifies Thatcher's field of study at Oxford and accurately describes the academic qualification reported in the article.
"What subject did Margaret Thatcher study at Oxford, and what degree or qualification did she earn?",Correctly identifies Thatcher's field of study at Oxford and accurately describes the academic qualification reported in the article.
"At the University of Oxford, what did Margaret Thatcher major in, and what academic credential did she get?",Correctly identifies Thatcher's field of study at Oxford and accurately describes the academic qualification reported in the article.
"What was Margaret Thatcher's field of study at Oxford, and what qualification did she obtain there?",Correctly identifies Thatcher's field of study at Oxford and accurately describes the academic qualification reported in the article.
"Which Austrian settlement in the corpus is strongly associated with prehistoric salt mining, and where is it located?",Identifies Hallstatt as the settlement and correctly states that it is located in Austria. The answer should connect Hallstatt with its long history of salt mining.
"Which Austrian settlement mentioned in the corpus is closely linked to prehistoric salt mining, and where is it located?",Identifies Hallstatt as the settlement and correctly states that it is located in Austria. The answer should connect Hallstatt with its long history of salt mining.
"What Austrian settlement in the corpus is strongly tied to prehistoric salt mining, and where is it situated?",Identifies Hallstatt as the settlement and correctly states that it is located in Austria. The answer should connect Hallstatt with its long history of salt mining.
"In the corpus, which Austrian settlement is associated with prehistoric salt mining, and where is it located?",Identifies Hallstatt as the settlement and correctly states that it is located in Austria. The answer should connect Hallstatt with its long history of salt mining.
"What were the 85th Academy Awards, and what major event or achievement did the ceremony recognize?",Correctly identifies the 85th Academy Awards as an Academy Awards ceremony honoring achievements in film and accurately summarizes its purpose based on the article.
"What were the 85th Academy Awards, and what major event or accomplishment did the ceremony honor?",Correctly identifies the 85th Academy Awards as an Academy Awards ceremony honoring achievements in film and accurately summarizes its purpose based on the article.
"What were the 85th Academy Awards, and what significant event or achievement did they recognize?",Correctly identifies the 85th Academy Awards as an Academy Awards ceremony honoring achievements in film and accurately summarizes its purpose based on the article.
"What were the 85th Academy Awards, and what major occasion or milestone did the ceremony acknowledge?",Correctly identifies the 85th Academy Awards as an Academy Awards ceremony honoring achievements in film and accurately summarizes its purpose based on the article.
Compare the leadership roles and historical significance of Margaret Thatcher and Adolf Hitler as described in their respective Wikipedia articles.,"Identifies Margaret Thatcher as a British prime minister and Adolf Hitler as the dictator of Nazi Germany, and clearly distinguishes their different political roles, historical periods, and historical significance."
How do Margaret Thatcher’s and Adolf Hitler’s leadership roles and historical significance compare according to their Wikipedia articles?,"Identifies Margaret Thatcher as a British prime minister and Adolf Hitler as the dictator of Nazi Germany, and clearly distinguishes their different political roles, historical periods, and historical significance."
Can you compare the leadership positions and historical importance of Margaret Thatcher and Adolf Hitler as presented on Wikipedia?,"Identifies Margaret Thatcher as a British prime minister and Adolf Hitler as the dictator of Nazi Germany, and clearly distinguishes their different political roles, historical periods, and historical significance."
What are the differences and similarities in Margaret Thatcher’s and Adolf Hitler’s leadership roles and historical significance based on their Wikipedia entries?,"Identifies Margaret Thatcher as a British prime minister and Adolf Hitler as the dictator of Nazi Germany, and clearly distinguishes their different political roles, historical periods, and historical significance."
How did Margaret Thatcher's education and early professional career precede her entry into national politics?,"Connects evidence about Thatcher's education, early professional career, and subsequent political career using information from the Margaret Thatcher article without adding unsupported claims."
What were Margaret Thatcher’s educational background and early career before she entered national politics?,"Connects evidence about Thatcher's education, early professional career, and subsequent political career using information from the Margaret Thatcher article without adding unsupported claims."
How did Margaret Thatcher’s schooling and first professional jobs lead up to her national political career?,"Connects evidence about Thatcher's education, early professional career, and subsequent political career using information from the Margaret Thatcher article without adding unsupported claims."
What was Margaret Thatcher’s education and early work experience prior to her involvement in national politics?,"Connects evidence about Thatcher's education, early professional career, and subsequent political career using information from the Margaret Thatcher article without adding unsupported claims."
"According to the Wikipedia article on birds, what major characteristics distinguish birds from other animals?","Identifies defining characteristics described in the article, such as feathers, beaks, egg laying, wings, and other major biological traits. The answer should be grounded in the Bird article."
"According to the Wikipedia article about birds, what key traits set birds apart from other animals?","Identifies defining characteristics described in the article, such as feathers, beaks, egg laying, wings, and other major biological traits. The answer should be grounded in the Bird article."
"What major features distinguish birds from other animals, according to the Wikipedia page on birds?","Identifies defining characteristics described in the article, such as feathers, beaks, egg laying, wings, and other major biological traits. The answer should be grounded in the Bird article."
"In the Wikipedia article on birds, what are the main characteristics that make birds different from other animals?","Identifies defining characteristics described in the article, such as feathers, beaks, egg laying, wings, and other major biological traits. The answer should be grounded in the Bird article."
"According to the Wikipedia article on Emirates airline, when was Emirates founded, where is it based, and who owns it? Quote the relevant sentence or sentences.","States that Emirates was founded in 1985, is based in Dubai, United Arab Emirates, and is owned by the Emirates Group, and includes a relevant supporting quote or quotes from the article."
"According to the Wikipedia article on Emirates airline, when was Emirates founded, where is it based, and who owns it? Please quote the relevant sentence or sentences.","States that Emirates was founded in 1985, is based in Dubai, United Arab Emirates, and is owned by the Emirates Group, and includes a relevant supporting quote or quotes from the article."
"In the Wikipedia article about Emirates airline, what year was Emirates founded, where is it headquartered, and who is its owner? Please include the relevant quoted sentence or sentences.","States that Emirates was founded in 1985, is based in Dubai, United Arab Emirates, and is owned by the Emirates Group, and includes a relevant supporting quote or quotes from the article."
"From the Wikipedia page on Emirates airline, when was Emirates established, what is its base of operations, and who owns the airline? Quote the relevant sentence or sentences.","States that Emirates was founded in 1985, is based in Dubai, United Arab Emirates, and is owned by the Emirates Group, and includes a relevant supporting quote or quotes from the article."
"What was Steve Jobs's favorite restaurant, according to the Wikipedia evidence available in the corpus?",PASS if the response states that the retrieved Wikipedia evidence does not provide sufficient information to identify Steve Jobs's favorite restaurant. FAIL if the system invents or supplies an unsupported answer.
"According to the Wikipedia evidence in the corpus, what was Steve Jobs’s favorite restaurant?",PASS if the response states that the retrieved Wikipedia evidence does not provide sufficient information to identify Steve Jobs's favorite restaurant. FAIL if the system invents or supplies an unsupported answer.
"What restaurant was Steve Jobs said to favor, based on the Wikipedia evidence available in the corpus?",PASS if the response states that the retrieved Wikipedia evidence does not provide sufficient information to identify Steve Jobs's favorite restaurant. FAIL if the system invents or supplies an unsupported answer.
Which restaurant is identified as Steve Jobs’s favorite in the Wikipedia evidence from the corpus?,PASS if the response states that the retrieved Wikipedia evidence does not provide sufficient information to identify Steve Jobs's favorite restaurant. FAIL if the system invents or supplies an unsupported answer.
